"Source","Target","Weight"
"Artichoke","antioxidant",5
"Arugula","antioxidant",2
"Asparagus","antioxidant",4
"Bamboo_shoots","antioxidant",2
"Basella_(Malabar_spinach)","antioxidant",3
"Bell_pepper","antioxidant",7
"Bok_choy","antioxidant",4
"Broccoli","antioxidant",3
"Brussel_sprouts","antioxidant",5
"Butternut_squash","antioxidant",1
"Cabbage","antioxidant",5
"Carrots","antioxidant",6
"Cauliflower","antioxidant",3
"Collard_greens","antioxidant",2
"Cucumber","antioxidant",1
"Eggplant","antioxidant",3
"Endive","antioxidant",3
"Fiddlehead_ferns","antioxidant",3
"Green_Beans","antioxidant",3
"Jicama_","antioxidant",1
"Kale","antioxidant",6
"Kohlrabi","antioxidant",4
"Leeks","antioxidant",1
"Lettuce","antioxidant",5
"Lotus_root","antioxidant",2
"Moringa_pods","antioxidant",1
"Mustard_greens","antioxidant",1
"Okra","antioxidant",2
"Onion","antioxidant",4
"Parsnips","antioxidant",2
"Peas","antioxidant",1
"Potato","antioxidant",3
"Pumpkin","antioxidant",3
"Purslane","antioxidant",1
"Radicchio","antioxidant",2
"Radish","antioxidant",3
"Rhubarb","antioxidant",1
"Shallots","antioxidant",2
"Spinach","antioxidant",5
"Sweet_corn","antioxidant",1
"Sweet_potato","antioxidant",1
"Swiss_chard","antioxidant",4
"Tomato","antioxidant",4
"Turnips","antioxidant",1
"Watercress","antioxidant",4
"Winged_Bean","antioxidant",3
"Yams","antioxidant",3
"Zucchini","antioxidant",2
"Artichoke","potassium",2
"Arugula","potassium",1
"Asparagus","potassium",2
"Bamboo_shoots","potassium",3
"Basella_(Malabar_spinach)","potassium",2
"Beets","potassium",2
"Bell_pepper","potassium",1
"Bitter_gourd","potassium",1
"Bok_choy","potassium",2
"Brussel_sprouts","potassium",3
"Butternut_squash","potassium",1
"Cabbage","potassium",2
"Carrots","potassium",2
"Cassava_","potassium",2
"Cauliflower","potassium",2
"Cucumber","potassium",4
"Eggplant","potassium",2
"Endive","potassium",2
"Fennel","potassium",2
"Fiddlehead_ferns","potassium",3
"Green_Beans","potassium",2
"Kale","potassium",2
"Kohlrabi","potassium",2
"Leeks","potassium",1
"Lettuce","potassium",2
"Lotus_root","potassium",2
"Mustard_greens","potassium",1
